strain,country
EPI_ISL_574012,Wales
EPI_ISL_627824,Wales
EPI_ISL_601138,Scotland
EPI_ISL_577519,Wales
EPI_ISL_599701,Scotland
EPI_ISL_601173,Scotland
EPI_ISL_601180,Scotland
EPI_ISL_601179,Scotland
EPI_ISL_579109,Oceania / New Zealand
EPI_ISL_601121,Scotland
EPI_ISL_829355,Europe / Iceland
EPI_ISL_829354,Europe / Iceland
EPI_ISL_601117,Scotland
EPI_ISL_601104,Scotland
EPI_ISL_829600,Europe / Iceland
EPI_ISL_585504,Scotland
EPI_ISL_829512,Europe / Iceland
EPI_ISL_581637,Europe / Belgium
EPI_ISL_585432,Scotland
EPI_ISL_601103,Scotland
EPI_ISL_7671905,Europe / Italy
EPI_ISL_601140,Scotland
EPI_ISL_601113,Scotland
EPI_ISL_585281,Scotland
EPI_ISL_7671778,Europe / Italy
EPI_ISL_585405,Scotland
EPI_ISL_585404,Scotland
EPI_ISL_585277,Scotland
EPI_ISL_585397,Scotland
EPI_ISL_585403,Scotland
EPI_ISL_577524,Wales
EPI_ISL_601152,Scotland
EPI_ISL_732765,Europe / Spain
EPI_ISL_601164,Scotland
EPI_ISL_729603,Europe / Germany
EPI_ISL_7671777,Europe / Italy
EPI_ISL_651791,Scotland
EPI_ISL_651797,Scotland
EPI_ISL_601171,Scotland
EPI_ISL_599596,Scotland
EPI_ISL_574226,Wales
EPI_ISL_574124,Wales
EPI_ISL_574243,Wales
EPI_ISL_601114,Scotland
EPI_ISL_574114,Wales
EPI_ISL_601176,Scotland
EPI_ISL_601122,Scotland
EPI_ISL_577496,Wales
EPI_ISL_601126,Scotland
EPI_ISL_577510,Wales
EPI_ISL_577430,Wales
EPI_ISL_601127,Scotland
EPI_ISL_599683,Scotland
EPI_ISL_599572,Scotland
EPI_ISL_574003,Wales
EPI_ISL_599702,Scotland
EPI_ISL_599658,Scotland
EPI_ISL_601038,Scotland
EPI_ISL_573933,Wales
EPI_ISL_573943,Wales
EPI_ISL_599597,Scotland
EPI_ISL_599746,Scotland
EPI_ISL_2643598,Europe / Estonia
EPI_ISL_599718,Scotland
EPI_ISL_574176,Wales
EPI_ISL_601178,Scotland
EPI_ISL_574156,Wales
EPI_ISL_601182,Scotland
EPI_ISL_599685,Scotland
EPI_ISL_574181,Wales
EPI_ISL_599578,Scotland
EPI_ISL_577471,Wales
EPI_ISL_577498,Wales
EPI_ISL_574095,Wales
EPI_ISL_574093,Wales
EPI_ISL_574082,Wales
EPI_ISL_574083,Wales
EPI_ISL_574101,Wales
EPI_ISL_651804,Scotland
EPI_ISL_651805,Scotland
EPI_ISL_651800,Scotland
EPI_ISL_651806,Scotland
EPI_ISL_651810,Scotland
EPI_ISL_651808,Scotland
EPI_ISL_651793,Scotland
EPI_ISL_651792,Scotland
EPI_ISL_651794,Scotland
EPI_ISL_651795,Scotland
EPI_ISL_651799,Scotland
EPI_ISL_627805,Wales
EPI_ISL_575352,Scotland
EPI_ISL_601172,Scotland
EPI_ISL_589067,Wales
EPI_ISL_601123,Scotland
EPI_ISL_574227,Wales
EPI_ISL_574207,Wales
EPI_ISL_574233,Wales
EPI_ISL_574044,Wales
EPI_ISL_574051,Wales
EPI_ISL_574252,Wales
EPI_ISL_574126,Wales
EPI_ISL_574188,Wales
EPI_ISL_574178,Wales
EPI_ISL_574104,Wales
EPI_ISL_1260880,Europe / Italy
EPI_ISL_574107,Wales
EPI_ISL_574040,Wales
EPI_ISL_574047,Wales
EPI_ISL_831175,Europe / Spain
EPI_ISL_612295,Scotland
EPI_ISL_601137,Scotland
EPI_ISL_575351,Scotland
EPI_ISL_829842,Europe / Iceland
EPI_ISL_829845,Europe / Iceland
EPI_ISL_829353,Europe / Iceland
EPI_ISL_573797,Scotland
EPI_ISL_573798,Scotland
EPI_ISL_575358,Scotland
EPI_ISL_575366,Scotland
EPI_ISL_575356,Scotland
EPI_ISL_829846,Europe / Iceland
EPI_ISL_829843,Europe / Iceland
EPI_ISL_829848,Europe / Iceland
EPI_ISL_829517,Europe / Iceland
EPI_ISL_830117,Europe / Iceland
EPI_ISL_830110,Europe / Iceland
EPI_ISL_829841,Europe / Iceland
EPI_ISL_579849,Wales
EPI_ISL_575375,Scotland
EPI_ISL_829602,Europe / Iceland
EPI_ISL_1208395,Scotland
EPI_ISL_575343,Scotland
EPI_ISL_829515,Europe / Iceland
EPI_ISL_829518,Europe / Iceland
EPI_ISL_575362,Scotland
EPI_ISL_575374,Scotland
EPI_ISL_830109,Europe / Iceland
EPI_ISL_575371,Scotland
EPI_ISL_575376,Scotland
EPI_ISL_575368,Scotland
EPI_ISL_829519,Europe / Iceland
EPI_ISL_575391,Scotland
EPI_ISL_575364,Scotland
EPI_ISL_601166,Scotland
EPI_ISL_575360,Scotland
EPI_ISL_575359,Scotland
EPI_ISL_575393,Scotland
EPI_ISL_829516,Europe / Iceland
EPI_ISL_830112,Europe / Iceland
EPI_ISL_828441,Europe / Iceland
EPI_ISL_575378,Scotland
EPI_ISL_829359,Europe / Iceland
EPI_ISL_829351,Europe / Iceland
EPI_ISL_575370,Scotland
EPI_ISL_575381,Scotland
EPI_ISL_575383,Scotland
EPI_ISL_828869,Europe / Iceland
EPI_ISL_828946,Europe / Iceland
EPI_ISL_599726,Scotland
EPI_ISL_830453,Europe / Iceland
EPI_ISL_654202,Europe / Spain
EPI_ISL_827676,Europe / Iceland
EPI_ISL_829514,Europe / Iceland
EPI_ISL_575380,Scotland
EPI_ISL_575390,Scotland
EPI_ISL_599742,Scotland
EPI_ISL_827714,Europe / Iceland
EPI_ISL_579809,Wales
EPI_ISL_830115,Europe / Iceland
EPI_ISL_830113,Europe / Iceland
EPI_ISL_575357,Scotland
EPI_ISL_575398,Scotland
EPI_ISL_575392,Scotland
EPI_ISL_575396,Scotland
EPI_ISL_575397,Scotland
EPI_ISL_601125,Scotland
EPI_ISL_588545,Wales
EPI_ISL_575386,Scotland
EPI_ISL_600975,Scotland
EPI_ISL_585433,Scotland
EPI_ISL_601149,Scotland
EPI_ISL_601145,Scotland
EPI_ISL_601119,Scotland
EPI_ISL_601134,Scotland
EPI_ISL_601142,Scotland
EPI_ISL_829597,Europe / Iceland
EPI_ISL_1855056,Europe / Italy
EPI_ISL_601151,Scotland
EPI_ISL_601115,Scotland
EPI_ISL_601165,Scotland
EPI_ISL_601111,Scotland
EPI_ISL_601100,Scotland
EPI_ISL_601153,Scotland
EPI_ISL_601108,Scotland
EPI_ISL_831176,Europe / Spain
EPI_ISL_829352,Europe / Iceland
EPI_ISL_601141,Scotland
EPI_ISL_601133,Scotland
EPI_ISL_601147,Scotland
EPI_ISL_601148,Scotland
EPI_ISL_601155,Scotland
EPI_ISL_2644384,Europe / Slovenia
EPI_ISL_831177,Europe / Spain
EPI_ISL_601139,Scotland
EPI_ISL_601160,Scotland
EPI_ISL_601131,Scotland
EPI_ISL_601143,Scotland
EPI_ISL_830454,Europe / Iceland
EPI_ISL_601136,Scotland
EPI_ISL_601157,Scotland
EPI_ISL_830111,Europe / Iceland
EPI_ISL_601177,Scotland
EPI_ISL_601112,Scotland
EPI_ISL_601181,Scotland
EPI_ISL_575344,Scotland
EPI_ISL_575377,Scotland
EPI_ISL_1855066,Europe / Italy
EPI_ISL_1855063,Europe / Italy
EPI_ISL_3356341,Europe / Belgium
EPI_ISL_601116,Scotland
EPI_ISL_829521,Europe / Iceland
EPI_ISL_575341,Scotland
EPI_ISL_1855064,Europe / Italy
EPI_ISL_601168,Scotland
EPI_ISL_575345,Scotland
EPI_ISL_829520,Europe / Iceland
EPI_ISL_575355,Scotland
EPI_ISL_1855065,Europe / Italy
EPI_ISL_575369,Scotland
EPI_ISL_601130,Scotland
EPI_ISL_601124,Scotland
EPI_ISL_601167,Scotland
EPI_ISL_575348,Scotland
EPI_ISL_601174,Scotland
EPI_ISL_829598,Europe / Iceland
EPI_ISL_601158,Scotland
EPI_ISL_601098,Scotland
EPI_ISL_601120,Scotland
EPI_ISL_601169,Scotland
EPI_ISL_575350,Scotland
EPI_ISL_575349,Scotland
EPI_ISL_575353,Scotland
EPI_ISL_601128,Scotland
EPI_ISL_1855067,Europe / Italy
EPI_ISL_829595,Europe / Iceland
EPI_ISL_2017545,Europe / Spain
EPI_ISL_2017503,Europe / Spain
EPI_ISL_828331,Europe / Iceland
EPI_ISL_2099773,Europe / Spain
EPI_ISL_1855060,Europe / Italy
EPI_ISL_3426611,Europe / Netherlands
EPI_ISL_601058,Scotland
EPI_ISL_580637,Wales
EPI_ISL_585438,Scotland
EPI_ISL_585439,Scotland
EPI_ISL_585443,Scotland
EPI_ISL_585627,Wales
EPI_ISL_585436,Scotland
EPI_ISL_585449,Scotland
EPI_ISL_585431,Scotland
EPI_ISL_706467,Wales
EPI_ISL_706469,Wales
EPI_ISL_706468,Wales
EPI_ISL_1855077,Europe / Italy
EPI_ISL_1855050,Europe / Italy
EPI_ISL_600977,Scotland
EPI_ISL_1855053,Europe / Italy
EPI_ISL_600969,Scotland
EPI_ISL_1855055,Europe / Italy
EPI_ISL_1855052,Europe / Italy
EPI_ISL_1855051,Europe / Italy
EPI_ISL_1855061,Europe / Italy
EPI_ISL_3357894,Europe / France
EPI_ISL_574170,Wales
EPI_ISL_585435,Scotland
EPI_ISL_600939,Scotland
EPI_ISL_600982,Scotland
EPI_ISL_574022,Wales
EPI_ISL_600979,Scotland
EPI_ISL_829579,Europe / Iceland
EPI_ISL_600934,Scotland
EPI_ISL_600926,Wales
EPI_ISL_601092,Scotland
EPI_ISL_574045,Wales
EPI_ISL_829277,Europe / Iceland
EPI_ISL_574033,Wales
EPI_ISL_586170,Wales
EPI_ISL_1692793,Europe / Italy
EPI_ISL_829578,Europe / Iceland
EPI_ISL_829274,Europe / Iceland
EPI_ISL_829576,Europe / Iceland
EPI_ISL_829574,Europe / Iceland
EPI_ISL_574200,Wales
EPI_ISL_574153,Wales
EPI_ISL_574195,Wales
EPI_ISL_829278,Europe / Iceland
EPI_ISL_580647,Wales
EPI_ISL_601056,Scotland
EPI_ISL_574159,Wales
EPI_ISL_600998,Scotland
EPI_ISL_600946,Scotland
EPI_ISL_7671779,Europe / Italy
EPI_ISL_600927,Wales
EPI_ISL_574097,Wales
EPI_ISL_574098,Wales
EPI_ISL_574089,Wales
EPI_ISL_574144,Wales
EPI_ISL_829270,Europe / Iceland
EPI_ISL_574202,Wales
EPI_ISL_574096,Wales
EPI_ISL_574218,Wales
EPI_ISL_578041,Europe / Netherlands
EPI_ISL_1855049,Europe / Italy
EPI_ISL_574215,Wales
EPI_ISL_1855079,Europe / Italy
EPI_ISL_574122,Wales
EPI_ISL_574235,Wales
EPI_ISL_600930,Wales
EPI_ISL_574180,Wales
EPI_ISL_574158,Wales
EPI_ISL_574248,Wales
EPI_ISL_574117,Wales
EPI_ISL_601064,Scotland
EPI_ISL_574057,Wales
EPI_ISL_574086,Wales
EPI_ISL_574127,Wales
EPI_ISL_594928,Wales
EPI_ISL_594971,Wales
EPI_ISL_594967,Wales
EPI_ISL_594975,Wales
EPI_ISL_594968,Wales
EPI_ISL_594969,Wales
EPI_ISL_594966,Wales
EPI_ISL_594983,Wales
EPI_ISL_574197,Wales
EPI_ISL_585430,Scotland
EPI_ISL_828011,Europe / Iceland
EPI_ISL_601039,Scotland
EPI_ISL_1510698,Europe / Canary Islands
EPI_ISL_1510702,Europe / Canary Islands
EPI_ISL_601024,Scotland
EPI_ISL_600985,Scotland
EPI_ISL_594977,Wales
EPI_ISL_594970,Wales
EPI_ISL_594972,Wales
EPI_ISL_594978,Wales
EPI_ISL_2731396,Europe / Netherlands
EPI_ISL_827715,Europe / Iceland
EPI_ISL_600943,Scotland
EPI_ISL_601049,Scotland
EPI_ISL_585441,Scotland
EPI_ISL_600984,Scotland
EPI_ISL_600942,Scotland
EPI_ISL_585448,Scotland
EPI_ISL_585427,Scotland
EPI_ISL_585429,Scotland
EPI_ISL_585428,Scotland
EPI_ISL_585434,Scotland
EPI_ISL_600992,Scotland
EPI_ISL_601068,Scotland
EPI_ISL_601021,Scotland
EPI_ISL_574167,Wales
EPI_ISL_574162,Wales
EPI_ISL_574161,Wales
EPI_ISL_574255,Wales
EPI_ISL_580850,Wales
EPI_ISL_574205,Wales
EPI_ISL_601013,Scotland
EPI_ISL_828330,Europe / Iceland
EPI_ISL_574204,Wales
EPI_ISL_580766,Wales
EPI_ISL_600990,Scotland
EPI_ISL_580841,Wales
EPI_ISL_831179,Europe / Spain
EPI_ISL_574149,Wales
EPI_ISL_735028,Europe / Belgium
EPI_ISL_601036,Scotland
EPI_ISL_600972,Scotland
EPI_ISL_589772,Wales
EPI_ISL_600980,Scotland
EPI_ISL_600962,Scotland
EPI_ISL_735029,Europe / Belgium
EPI_ISL_601015,Scotland
EPI_ISL_735027,Europe / Belgium
EPI_ISL_600955,Scotland
EPI_ISL_601082,Scotland
EPI_ISL_601075,Scotland
EPI_ISL_601089,Scotland
EPI_ISL_601090,Scotland
EPI_ISL_1499070,Europe / Slovenia
EPI_ISL_912276,Europe / Spain
EPI_ISL_601074,Scotland
EPI_ISL_601073,Scotland
EPI_ISL_601086,Scotland
EPI_ISL_831178,Europe / Spain
EPI_ISL_827722,Europe / Iceland
EPI_ISL_828332,Europe / Iceland
EPI_ISL_706466,Wales
EPI_ISL_581656,Europe / Belgium
EPI_ISL_828325,Europe / Iceland
EPI_ISL_644490,Europe / France
EPI_ISL_574106,Wales
EPI_ISL_639998,Europe / France
EPI_ISL_581646,Europe / Belgium
EPI_ISL_827719,Europe / Iceland
EPI_ISL_827720,Europe / Iceland
EPI_ISL_827723,Europe / Iceland
EPI_ISL_574049,Wales
EPI_ISL_827718,Europe / Iceland
EPI_ISL_732801,Europe / Spain
EPI_ISL_581657,Europe / Belgium
EPI_ISL_732802,Europe / Spain
EPI_ISL_827713,Europe / Iceland
EPI_ISL_829573,Europe / Iceland
EPI_ISL_829575,Europe / Iceland
EPI_ISL_585270,Scotland
EPI_ISL_1495500,Europe / Austria
EPI_ISL_574103,Wales
EPI_ISL_829269,Europe / Iceland
EPI_ISL_3426612,Europe / Netherlands
EPI_ISL_580750,Wales
EPI_ISL_601004,Scotland
EPI_ISL_3426613,Europe / Netherlands
EPI_ISL_639992,Europe / France
EPI_ISL_829272,Europe / Iceland
EPI_ISL_574017,Wales
EPI_ISL_654203,Europe / Spain
EPI_ISL_706465,Wales
EPI_ISL_594973,Wales
EPI_ISL_827717,Europe / Iceland
EPI_ISL_829582,Europe / Iceland
EPI_ISL_829276,Europe / Iceland
EPI_ISL_574209,Wales
EPI_ISL_577433,Wales
EPI_ISL_589781,Wales
EPI_ISL_589580,Wales
EPI_ISL_577440,Wales
EPI_ISL_589584,Wales
EPI_ISL_589771,Wales
EPI_ISL_580598,Wales
EPI_ISL_595576,Wales
EPI_ISL_589763,Wales
EPI_ISL_577489,Wales
EPI_ISL_580484,Wales
EPI_ISL_589699,Wales
EPI_ISL_595475,Wales
EPI_ISL_595376,Wales
EPI_ISL_589607,Wales
EPI_ISL_589646,Wales
EPI_ISL_577439,Wales
EPI_ISL_588617,Wales
EPI_ISL_589715,Wales
EPI_ISL_595551,Wales
EPI_ISL_577473,Wales
EPI_ISL_824205,Europe / Netherlands
EPI_ISL_1195564,Europe / Spain
EPI_ISL_654204,Europe / Spain
EPI_ISL_654345,Europe / Spain
EPI_ISL_612287,Scotland
EPI_ISL_612296,Scotland
EPI_ISL_829055,Europe / Iceland
EPI_ISL_827759,Europe / Iceland
EPI_ISL_589784,Wales
EPI_ISL_790931,Europe / Netherlands
EPI_ISL_589200,Wales
EPI_ISL_574084,Wales
EPI_ISL_574223,Wales
EPI_ISL_2627430,Europe / Spain
EPI_ISL_2627429,Europe / Spain
EPI_ISL_2627427,Europe / Spain
EPI_ISL_2017507,Europe / Spain
EPI_ISL_585508,Scotland
EPI_ISL_828587,Europe / Iceland
EPI_ISL_585517,Scotland
EPI_ISL_585515,Scotland
EPI_ISL_585506,Scotland
EPI_ISL_585510,Scotland
EPI_ISL_585509,Scotland
EPI_ISL_828590,Europe / Iceland
EPI_ISL_589724,Wales
EPI_ISL_585516,Scotland
EPI_ISL_585529,Scotland
EPI_ISL_829915,Europe / Iceland
EPI_ISL_829723,Europe / Iceland
EPI_ISL_753785,Europe / Germany
EPI_ISL_802269,North America / USA
EPI_ISL_585445,Scotland
EPI_ISL_585450,Scotland
EPI_ISL_815259,Europe / Czech Republic
EPI_ISL_594963,Wales
EPI_ISL_828054,Europe / Iceland
EPI_ISL_735039,Europe / Belgium
EPI_ISL_1855090,Europe / Italy
EPI_ISL_735043,Europe / Belgium
EPI_ISL_735041,Europe / Belgium
EPI_ISL_735042,Europe / Belgium
EPI_ISL_574131,Wales
EPI_ISL_574165,Wales
EPI_ISL_589174,Wales
EPI_ISL_574145,Wales
EPI_ISL_574135,Wales
EPI_ISL_574212,Wales
EPI_ISL_827766,Europe / Iceland
EPI_ISL_827767,Europe / Iceland
EPI_ISL_580666,Wales
EPI_ISL_574115,Wales
EPI_ISL_827886,Europe / Iceland
EPI_ISL_574119,Wales
EPI_ISL_828600,Europe / Iceland
EPI_ISL_574023,Wales
EPI_ISL_589086,Wales
EPI_ISL_574076,Wales
EPI_ISL_574021,Wales
EPI_ISL_574042,Wales
EPI_ISL_574043,Wales
EPI_ISL_601026,Scotland
EPI_ISL_601012,Scotland
EPI_ISL_574238,Wales
EPI_ISL_585446,Scotland
EPI_ISL_588284,Wales
EPI_ISL_594898,Wales
EPI_ISL_580753,Wales
EPI_ISL_959958,Europe / Germany
EPI_ISL_829774,Europe / Iceland
EPI_ISL_600767,Scotland
EPI_ISL_600901,Wales
EPI_ISL_601077,Scotland
EPI_ISL_629029,Oceania / Australia
EPI_ISL_693514,Europe / France
EPI_ISL_7671782,Europe / Italy
EPI_ISL_828058,Europe / Iceland
EPI_ISL_828055,Europe / Iceland
EPI_ISL_912342,Europe / Spain
EPI_ISL_601010,Scotland
EPI_ISL_829775,Europe / Iceland
EPI_ISL_829719,Europe / Iceland
EPI_ISL_601084,Scotland
EPI_ISL_828329,Europe / Iceland
EPI_ISL_828333,Europe / Iceland
EPI_ISL_601085,Scotland
EPI_ISL_828060,Europe / Iceland
EPI_ISL_580656,Wales
EPI_ISL_828285,Europe / Iceland
EPI_ISL_577491,Wales
EPI_ISL_580353,Wales
EPI_ISL_577474,Wales
EPI_ISL_632591,Europe / Netherlands
EPI_ISL_828286,Europe / Iceland
EPI_ISL_1499073,Europe / Slovenia
EPI_ISL_580752,Wales
EPI_ISL_594905,Wales
EPI_ISL_601069,Scotland
EPI_ISL_594899,Wales
EPI_ISL_918563,Wales
EPI_ISL_601072,Scotland
EPI_ISL_600959,Scotland
EPI_ISL_601029,Scotland
EPI_ISL_601081,Scotland
EPI_ISL_601035,Scotland
EPI_ISL_601063,Scotland
EPI_ISL_601033,Scotland
EPI_ISL_601020,Scotland
EPI_ISL_600973,Scotland
EPI_ISL_601017,Scotland
EPI_ISL_601019,Scotland
EPI_ISL_601018,Scotland
EPI_ISL_601083,Scotland
EPI_ISL_601051,Scotland
EPI_ISL_828056,Europe / Iceland
EPI_ISL_828057,Europe / Iceland
EPI_ISL_828051,Europe / Iceland
EPI_ISL_594916,Wales
EPI_ISL_594902,Wales
EPI_ISL_601046,Scotland
EPI_ISL_600988,Scotland
EPI_ISL_594891,Wales
EPI_ISL_594893,Wales
EPI_ISL_796035,Europe / Germany
EPI_ISL_601003,Scotland
EPI_ISL_600815,Scotland
EPI_ISL_600799,Scotland
EPI_ISL_827762,Europe / Iceland
EPI_ISL_827758,Europe / Iceland
EPI_ISL_827763,Europe / Iceland
EPI_ISL_580698,Wales
EPI_ISL_828328,Europe / Iceland
EPI_ISL_827765,Europe / Iceland
EPI_ISL_827761,Europe / Iceland
EPI_ISL_828061,Europe / Iceland
EPI_ISL_2271238,Europe / Spain
EPI_ISL_828324,Europe / Iceland
EPI_ISL_580712,Wales
EPI_ISL_580718,Wales
EPI_ISL_580700,Wales
EPI_ISL_828592,Europe / Iceland
EPI_ISL_827764,Europe / Iceland
EPI_ISL_600994,Scotland
EPI_ISL_600983,Scotland
EPI_ISL_601079,Scotland
EPI_ISL_600987,Scotland
EPI_ISL_600989,Scotland
EPI_ISL_601040,Scotland
EPI_ISL_600771,Scotland
EPI_ISL_600765,Scotland
EPI_ISL_600762,Scotland
EPI_ISL_601043,Scotland
EPI_ISL_600760,Scotland
EPI_ISL_601091,Scotland
EPI_ISL_601088,Scotland
EPI_ISL_567403,Wales
EPI_ISL_585507,Scotland
EPI_ISL_600816,Scotland
EPI_ISL_830366,Europe / Iceland
EPI_ISL_600774,Scotland
EPI_ISL_601052,Scotland
EPI_ISL_574077,Wales
EPI_ISL_601053,Scotland
EPI_ISL_830185,Europe / Iceland
EPI_ISL_601000,Scotland
EPI_ISL_600951,Scotland
EPI_ISL_601059,Scotland
EPI_ISL_600781,Scotland
EPI_ISL_600938,Scotland
EPI_ISL_601006,Scotland
EPI_ISL_600940,Scotland
EPI_ISL_600949,Scotland
EPI_ISL_600932,Scotland
EPI_ISL_601001,Scotland
EPI_ISL_601007,Scotland
EPI_ISL_600953,Scotland
EPI_ISL_600827,Scotland
EPI_ISL_580726,Wales
EPI_ISL_574189,Wales
EPI_ISL_580745,Wales
EPI_ISL_574173,Wales
EPI_ISL_574182,Wales
EPI_ISL_574169,Wales
EPI_ISL_580743,Wales
EPI_ISL_680279,Northern Ireland
EPI_ISL_680280,Northern Ireland
EPI_ISL_580746,Wales
EPI_ISL_580728,Wales
EPI_ISL_580732,Wales
EPI_ISL_601030,Scotland
EPI_ISL_580776,Wales
EPI_ISL_580768,Wales
EPI_ISL_580797,Wales
EPI_ISL_580856,Wales
EPI_ISL_580733,Wales
EPI_ISL_580847,Wales
EPI_ISL_680227,Northern Ireland
EPI_ISL_601062,Scotland
EPI_ISL_680230,Northern Ireland
EPI_ISL_601054,Scotland
EPI_ISL_829914,Europe / Iceland
EPI_ISL_574027,Wales
EPI_ISL_574071,Wales
EPI_ISL_600933,Scotland
EPI_ISL_600800,Scotland
EPI_ISL_589773,Wales
EPI_ISL_1855089,Europe / Italy
EPI_ISL_1855069,Europe / Italy
EPI_ISL_1855068,Europe / Italy
EPI_ISL_1855071,Europe / Italy
EPI_ISL_1855070,Europe / Italy
EPI_ISL_580260,Wales
EPI_ISL_722828,Europe / Netherlands
EPI_ISL_588966,Wales
EPI_ISL_589179,Wales
EPI_ISL_589161,Wales
EPI_ISL_588986,Wales
EPI_ISL_600886,Scotland
EPI_ISL_600791,Scotland
EPI_ISL_580711,Wales
EPI_ISL_600773,Scotland
EPI_ISL_589259,Wales
EPI_ISL_580773,Wales
EPI_ISL_580707,Wales
EPI_ISL_580830,Wales
EPI_ISL_588770,Wales
EPI_ISL_588905,Wales
EPI_ISL_589196,Wales
EPI_ISL_577448,Wales
EPI_ISL_577421,Wales
EPI_ISL_577426,Wales
EPI_ISL_585455,Scotland
EPI_ISL_830087,Europe / Iceland
EPI_ISL_577418,Wales
EPI_ISL_574256,Wales
EPI_ISL_574199,Wales
EPI_ISL_595572,Wales
EPI_ISL_595417,Wales
EPI_ISL_595564,Wales
EPI_ISL_830092,Europe / Iceland
EPI_ISL_830090,Europe / Iceland
EPI_ISL_595532,Wales
EPI_ISL_830091,Europe / Iceland
EPI_ISL_595580,Wales
EPI_ISL_577423,Wales
EPI_ISL_577451,Wales
EPI_ISL_830184,Europe / Iceland
EPI_ISL_577447,Wales
EPI_ISL_595527,Wales
EPI_ISL_574036,Wales
EPI_ISL_1855073,Europe / Italy
EPI_ISL_574179,Wales
EPI_ISL_574201,Wales
EPI_ISL_595497,Wales
EPI_ISL_829010,Europe / Iceland
EPI_ISL_830448,Europe / Iceland
EPI_ISL_830450,Europe / Iceland
EPI_ISL_830368,Europe / Iceland
EPI_ISL_577442,Wales
EPI_ISL_830108,Europe / Iceland
EPI_ISL_1855082,Europe / Italy
EPI_ISL_595495,Wales
EPI_ISL_595381,Wales
EPI_ISL_588909,Wales
EPI_ISL_577463,Wales
EPI_ISL_577469,Wales
EPI_ISL_577458,Wales
EPI_ISL_595556,Wales
EPI_ISL_577459,Wales
EPI_ISL_577494,Wales
EPI_ISL_595562,Wales
EPI_ISL_2099977,Europe / Spain
EPI_ISL_2099971,Europe / Spain
EPI_ISL_2099991,Europe / Spain
EPI_ISL_574208,Wales
EPI_ISL_574241,Wales
EPI_ISL_577472,Wales
EPI_ISL_577444,Wales
EPI_ISL_595397,Wales
EPI_ISL_595388,Wales
EPI_ISL_600797,Scotland
EPI_ISL_595402,Wales
EPI_ISL_830107,Europe / Iceland
EPI_ISL_680235,Northern Ireland
EPI_ISL_680232,Northern Ireland
EPI_ISL_600696,Scotland
EPI_ISL_585977,Wales
EPI_ISL_680233,Northern Ireland
EPI_ISL_577501,Wales
EPI_ISL_577434,Wales
EPI_ISL_680231,Northern Ireland
EPI_ISL_577424,Wales
EPI_ISL_577452,Wales
EPI_ISL_577450,Wales
EPI_ISL_577540,Wales
EPI_ISL_595677,Wales
EPI_ISL_1855081,Europe / Italy
EPI_ISL_594920,Wales
EPI_ISL_603340,Europe / Switzerland
EPI_ISL_603336,Europe / Switzerland
EPI_ISL_603334,Europe / Switzerland
EPI_ISL_603333,Europe / Switzerland
EPI_ISL_791316,Republic of Ireland
EPI_ISL_2271205,Europe / Spain
EPI_ISL_828564,Europe / Iceland
EPI_ISL_603342,Europe / Switzerland
EPI_ISL_2271209,Europe / Spain
EPI_ISL_2271212,Europe / Spain
EPI_ISL_959955,Europe / Germany
EPI_ISL_2271215,Europe / Spain
EPI_ISL_829011,Europe / Iceland
EPI_ISL_2271210,Europe / Spain
EPI_ISL_2271216,Europe / Spain
EPI_ISL_603343,Europe / Switzerland
EPI_ISL_2869828,Europe / Germany
EPI_ISL_2271204,Europe / Spain
EPI_ISL_2271203,Europe / Spain
EPI_ISL_2271214,Europe / Spain
EPI_ISL_2271198,Europe / Spain
EPI_ISL_595766,Scotland
EPI_ISL_600793,Scotland
EPI_ISL_2271197,Europe / Spain
EPI_ISL_574112,Wales
EPI_ISL_2271196,Europe / Spain
EPI_ISL_600812,Scotland
EPI_ISL_600817,Scotland
EPI_ISL_594919,Wales
EPI_ISL_595679,Wales
EPI_ISL_827915,Europe / Iceland
EPI_ISL_827919,Europe / Iceland
EPI_ISL_827918,Europe / Iceland
EPI_ISL_600837,Scotland
EPI_ISL_722829,Europe / Netherlands
EPI_ISL_829837,Europe / Iceland
EPI_ISL_829831,Europe / Iceland
EPI_ISL_829834,Europe / Iceland
EPI_ISL_829832,Europe / Iceland
EPI_ISL_2100059,Europe / Spain
EPI_ISL_828287,Europe / Iceland
EPI_ISL_829836,Europe / Iceland
EPI_ISL_829292,Europe / Iceland
EPI_ISL_577542,Wales
EPI_ISL_577527,Wales
EPI_ISL_577523,Wales
EPI_ISL_574094,Wales
EPI_ISL_829290,Europe / Iceland
EPI_ISL_829916,Europe / Iceland
EPI_ISL_574206,Wales
EPI_ISL_828591,Europe / Iceland
EPI_ISL_600649,Scotland
EPI_ISL_827917,Europe / Iceland
EPI_ISL_612291,Scotland
EPI_ISL_595607,Wales
EPI_ISL_577835,Europe / Netherlands
EPI_ISL_577834,Europe / Netherlands
EPI_ISL_644516,Europe / France
EPI_ISL_632390,Europe / Netherlands
EPI_ISL_577509,Wales
EPI_ISL_577454,Wales
EPI_ISL_577445,Wales
EPI_ISL_632506,Europe / Netherlands
EPI_ISL_828559,Europe / Iceland
EPI_ISL_574121,Wales
EPI_ISL_600768,Scotland
EPI_ISL_1120933,Europe / Spain
EPI_ISL_600929,Wales
EPI_ISL_2271213,Europe / Spain
EPI_ISL_2271193,Europe / Spain
EPI_ISL_600820,Scotland
EPI_ISL_600807,Scotland
